feature,clsname,val_score,malware,test_score
countvectorizer_ngram1-scaled,Isolation Forest,0.9666666666666667,delay,0.10333333333333333
countvectorizer_ngram1-scaled,Isolation Forest,0.9666666666666667,confusion,0.36
countvectorizer_ngram1-scaled,Isolation Forest,0.9666666666666667,freeze,0.09
countvectorizer_ngram1-scaled,Isolation Forest,0.9666666666666667,mimic,0.43
countvectorizer_ngram1-scaled,Isolation Forest,0.9666666666666667,noise,0.3466666666666667
countvectorizer_ngram1-scaled,Isolation Forest,0.9666666666666667,repeat,0.24666666666666667
countvectorizer_ngram1-scaled,Isolation Forest,0.9666666666666667,spoof,0.25333333333333335
countvectorizer_ngram1-scaled,Isolation Forest,0.9666666666666667,total,0.26142857142857145
countvectorizer_ngram1-scaled,One-Class SVM,0.9444444444444444,delay,0.07666666666666666
countvectorizer_ngram1-scaled,One-Class SVM,0.9444444444444444,confusion,0.5266666666666666
countvectorizer_ngram1-scaled,One-Class SVM,0.9444444444444444,freeze,0.07666666666666666
countvectorizer_ngram1-scaled,One-Class SVM,0.9444444444444444,mimic,0.56
countvectorizer_ngram1-scaled,One-Class SVM,0.9444444444444444,noise,1.0
countvectorizer_ngram1-scaled,One-Class SVM,0.9444444444444444,repeat,0.3
countvectorizer_ngram1-scaled,One-Class SVM,0.9444444444444444,spoof,1.0
countvectorizer_ngram1-scaled,One-Class SVM,0.9444444444444444,total,0.5057142857142857
countvectorizer_ngram1-scaled,Robust covariance,0.9444444444444444,delay,0.13333333333333333
countvectorizer_ngram1-scaled,Robust covariance,0.9444444444444444,confusion,0.06333333333333334
countvectorizer_ngram1-scaled,Robust covariance,0.9444444444444444,freeze,0.09333333333333334
countvectorizer_ngram1-scaled,Robust covariance,0.9444444444444444,mimic,0.06333333333333334
countvectorizer_ngram1-scaled,Robust covariance,0.9444444444444444,noise,1.0
countvectorizer_ngram1-scaled,Robust covariance,0.9444444444444444,repeat,0.10666666666666667
countvectorizer_ngram1-scaled,Robust covariance,0.9444444444444444,spoof,1.0
countvectorizer_ngram1-scaled,Robust covariance,0.9444444444444444,total,0.3514285714285714
countvectorizer_ngram1-scaled,SGD One-Class SVM,1.0,delay,0.0
countvectorizer_ngram1-scaled,SGD One-Class SVM,1.0,confusion,0.0
countvectorizer_ngram1-scaled,SGD One-Class SVM,1.0,freeze,0.0
countvectorizer_ngram1-scaled,SGD One-Class SVM,1.0,mimic,0.0
countvectorizer_ngram1-scaled,SGD One-Class SVM,1.0,noise,0.0
countvectorizer_ngram1-scaled,SGD One-Class SVM,1.0,repeat,0.0
