feature,clsname,val_score,malware,test_score
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,delay,0.10333333333333333
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,confusion,0.36
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,freeze,0.09
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,mimic,0.43
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,noise,0.3466666666666667
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,repeat,0.24666666666666667
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,spoof,0.25333333333333335
countvectorizer_ngram1,Isolation Forest,0.9666666666666667,total,0.26142857142857145
countvectorizer_ngram1,One-Class SVM,0.9444444444444444,delay,0.07666666666666666
countvectorizer_ngram1,One-Class SVM,0.9444444444444444,confusion,0.56
countvectorizer_ngram1,One-Class SVM,0.9444444444444444,freeze,0.11666666666666667
countvectorizer_ngram1,One-Class SVM,0.9444444444444444,mimic,0.62
countvectorizer_ngram1,One-Class SVM,0.9444444444444444,noise,0.36666666666666664
countvectorizer_ngram1,One-Class SVM,0.9444444444444444,repeat,0.33666666666666667
countvectorizer_ngram1,One-Class SVM,0.9444444444444444,spoof,0.24333333333333335
countvectorizer_ngram1,One-Class SVM,0.9444444444444444,total,0.3314285714285714
countvectorizer_ngram1,Robust covariance,0.9444444444444444,delay,0.12666666666666668
countvectorizer_ngram1,Robust covariance,0.9444444444444444,confusion,0.06
countvectorizer_ngram1,Robust covariance,0.9444444444444444,freeze,0.08666666666666667
countvectorizer_ngram1,Robust covariance,0.9444444444444444,mimic,0.05333333333333334
countvectorizer_ngram1,Robust covariance,0.9444444444444444,noise,1.0
countvectorizer_ngram1,Robust covariance,0.9444444444444444,repeat,0.10333333333333333
countvectorizer_ngram1,Robust covariance,0.9444444444444444,spoof,1.0
countvectorizer_ngram1,Robust covariance,0.9444444444444444,total,0.34714285714285714
countvectorizer_ngram1,SGD One-Class SVM,1.0,delay,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,confusion,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,freeze,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,mimic,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,noise,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,repeat,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,spoof,0.0
countvectorizer_ngram1,SGD One-Class SVM,1.0,total,0.0
countvectorizer_ngram1,Local Outlier Factor,0.07777777777777778,delay,0.0
countvectorizer_ngram1,Local Outlier Factor,0.07777777777777778,confusion,0.0
countvectorizer_ngram1,Local Outlier Factor,0.07777777777777778,freeze,0.0
countvectorizer_ngram1,Local Outlier Factor,0.07777777777777778,mimic,0.0
countvectorizer_ngram1,Local Outlier Factor,0.07777777777777778,noise,0.0
countvectorizer_ngram1,Local Outlier Factor,0.07777777777777778,repeat,0.0
countvectorizer_ngram1,Local Outlier Factor,0.07777777777777778,spoof,0.0
countvectorizer_ngram1,Local Outlier Factor,0.07777777777777778,total,0.0
countvectorizer_ngram2,Isolation Forest,0.9444444444444444,delay,0.08
countvectorizer_ngram2,Isolation Forest,0.9444444444444444,confusion,0.24333333333333335
countvectorizer_ngram2,Isolation Forest,0.9444444444444444,freeze,0.11
countvectorizer_ngram2,Isolation Forest,0.9444444444444444,mimic,0.24666666666666667
countvectorizer_ngram2,Isolation Forest,0.9444444444444444,noise,0.15333333333333332
countvectorizer_ngram2,Isolation Forest,0.9444444444444444,repeat,0.20333333333333334
countvectorizer_ngram2,Isolation Forest,0.9444444444444444,spoof,0.16666666666666666
countvectorizer_ngram2,Isolation Forest,0.9444444444444444,total,0.1719047619047619
countvectorizer_ngram2,One-Class SVM,0.9444444444444444,delay,0.07333333333333333
countvectorizer_ngram2,One-Class SVM,0.9444444444444444,confusion,0.56
countvectorizer_ngram2,One-Class SVM,0.9444444444444444,freeze,0.11666666666666667
countvectorizer_ngram2,One-Class SVM,0.9444444444444444,mimic,0.61
countvectorizer_ngram2,One-Class SVM,0.9444444444444444,noise,0.3433333333333333
countvectorizer_ngram2,One-Class SVM,0.9444444444444444,repeat,0.33666666666666667
countvectorizer_ngram2,One-Class SVM,0.9444444444444444,spoof,0.22333333333333333
countvectorizer_ngram2,One-Class SVM,0.9444444444444444,total,0.3233333333333333
